,precision,recall,f1-score,support
GuideSign,0.9435483870967742,0.9473684210526315,0.9454545454545454,247.0
M1,0.8113207547169812,0.8269230769230769,0.819047619047619,52.0
M4,0.9631811487481591,0.9688888888888889,0.96602658788774,675.0
M5,0.9473684210526315,0.8,0.8674698795180723,45.0
M6,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
M7,0.9895833333333334,0.9595959595959596,0.9743589743589743,99.0
P1,0.8813559322033898,0.9811320754716981,0.9285714285714286,53.0
P10_50,1.0,1.0,1.0,20.0
P12,0.95,0.95,0.95,20.0
W1,0.967741935483871,0.967741935483871,0.967741935483871,31.0
accuracy,0.9511811023622048,0.9511811023622048,0.9511811023622048,0.9511811023622048
macro avg,0.94156383741736,0.9294507500273269,0.9344596896248177,1270.0
weighted avg,0.9516753358585973,0.9511811023622048,0.9510421971827062,1270.0
